text,sentiment
"very wonderful, best purchase, for a charger",positive
"best purchase, terrible, the box includes a cable, for a headphones",neutral
"absolutely slow, it launched last year, for a blender",negative
"check really awful, for a keyboard http://spam.link/374",negative
"@user123 said crashed, one star, the company is based in ohio, for a headphones",negative
"barely absolutely refund, for a backpack",negative
"wonderful, poor quality, it comes in two colors, for a laptop",neutral
"broken, for a phone",negative
"really amazing, for a phone",positive
"@user123 said exceeded expectations, regret buying, the manual has 12 pages, for a backpack",neutral
"barely perfect, for a headphones",positive
"delighted, regret buying, it launched last year, for a headphones!!! sooo goooood",neutral
"love, terrible, the model number is xj-220, for a phone",neutral
"does not work, for a laptop",negative
"fantastic, hardly love, for a charger",positive
"not highly recommend, for a keyboard",positive
"excellent, impressive, for a laptop",positive
"barely stopped working, for a keyboard",negative
"@user123 said hardly top quality, very brilliant, for a phone",positive
"<b>worst experience, for a blender</b> &amp; more",negative
"brilliant, for a laptop!!! sooo goooood",positive
"superb, useless, the store had it in stock, for a keyboard",neutral
"<b>excellent, one star, it launched last year, for a watch</b> &amp; more",neutral
"outstanding, useless, the store had it in stock, for a blender",neutral
"very delighted, highly recommend, for a headphones",positive
"top quality, disappointing, the manual has 12 pages, for a blender",neutral
"delighted, broken, the store had it in stock, for a blender",neutral
"wonderful, poor quality, the company is based in ohio, for a charger!!! sooo goooood",neutral
"totally useless, never does not work, the box includes a cable, for a watch",negative
"hardly totally terrible, hardly totally poor quality, for a backpack",negative
"incredibly love, totally works flawlessly, for a keyboard!!! sooo goooood",positive
"five stars, waste of money, the box includes a cable, for a headphones",neutral
"poor quality, cheap plastic, for a phone",negative
"useless, for a charger",negative
"not defective, for a backpack",negative
"absolutely poor quality, poor quality, for a watch",negative
"five stars, hardly totally excellent, the app connects over bluetooth, for a blender",positive
"stopped working, the model number is xj-220, for a backpack",negative
"smooth, barely outstanding, it comes in two colors, for a headphones",positive
"perfect, hardly superb, for a headphones",positive
"check wonderful, awful, it weighs about 300 grams, for a charger http://spam.link/816",neutral
"best purchase, for a laptop",positive
"perfect, slow, the box includes a cable, for a laptop",neutral
"one star, for a keyboard",negative
"never incredibly cheap plastic, for a laptop",negative
"barely worst experience, does not work, for a backpack",negative
"excellent, awful, it launched last year, for a charger",neutral
"hardly absolutely exceeded expectations, for a phone",positive
"useless, for a phone",negative
"useless, incredibly never again, the box includes a cable, for a backpack",negative
"brilliant, highly recommend, the company is based in ohio, for a charger",positive
"disappointing, for a charger!!! sooo goooood",negative
"one star, hardly slow, the box includes a cable, for a headphones",negative
"smooth, never again, the company is based in ohio, for a watch",neutral
"exceeded expectations, slow, it uses usb-c, for a backpack",neutral
"best purchase, crashed, it uses usb-c, for a blender",neutral
"totally smooth, for a keyboard",positive
"totally excellent, perfect, for a charger!!! sooo goooood",positive
"check never refund, for a headphones http://spam.link/494",negative
"brilliant, for a laptop",neutral
"outstanding, impressive, for a backpack",positive
"totally regret buying, broken, for a blender",negative
"refund, worst experience, the app connects over bluetooth, for a headphones",negative
"love, for a blender!!! sooo goooood",positive
"does not work, it weighs about 300 grams, for a phone",negative
"barely totally useless, i bought this in march, for a watch",negative
"never never again, broken, for a watch",negative
"smooth, terrible, the box includes a cable, for a headphones",neutral
"impressive, for a watch",positive
"totally never again, for a blender",negative
"hardly one star, barely totally regret buying, the package arrived on tuesday, for a phone",negative
"never fantastic, for a laptop",positive
"@user123 said never incredibly crashed, for a backpack",negative
"hardly brilliant, absolutely impressive, for a phone",positive
"best purchase, annoying, the manual has 12 pages, for a phone",neutral
"hardly never again, absolutely waste of money, it uses usb-c, for a blender",negative
"not crashed, it uses usb-c, for a headphones",negative
"broken, for a backpack",negative
"works flawlessly, the manual has 12 pages, for a blender",positive
"check really exceeded expectations, not perfect, for a charger http://spam.link/653",positive
"impressive, poor quality, it uses usb-c, for a blender",neutral
"hardly outstanding, for a backpack",positive
"barely very exceeded expectations, for a blender!!! sooo goooood",positive
"hardly absolutely impressive, for a watch",positive
"really delighted, for a headphones",positive
"fantastic, regret buying, the box includes a cable, for a blender",neutral
"five stars, cheap plastic, the model number is xj-220, for a backpack",neutral
"never disappointing, it comes in two colors, for a backpack",negative
"highly recommend, never fantastic, for a backpack",positive
"incredibly outstanding, for a keyboard",positive
"barely incredibly reliable, the company is based in ohio, for a backpack",positive
"works flawlessly, incredibly impressive, it launched last year, for a phone",positive
"reliable, useless, it launched last year, for a keyboard",neutral
"check never reliable, for a backpack http://spam.link/399",positive
"hardly love, best purchase, for a laptop",positive
"fantastic, for a headphones",positive
"@user123 said great value, not brilliant, for a charger",positive
"@user123 said best purchase, for a keyboard",positive
"@user123 said highly recommend, one star, the store had it in stock, for a charger",neutral
"totally regret buying, i bought this in march, for a laptop",negative
"waste of money, for a charger",negative
"impressive, defective, it comes in two colors, for a blender",neutral
"barely totally delighted, perfect, for a phone",positive
"@user123 said useless, broken, for a keyboard",negative
"disappointing, awful, the model number is xj-220, for a blender",negative
"delighted, amazing, for a keyboard",positive
"best purchase, for a charger",positive
"useless, for a headphones",negative
"very does not work, barely very defective, for a headphones",negative
"great value, crashed, the model number is xj-220, for a backpack",neutral
"never incredibly top quality, never highly recommend, it launched last year, for a backpack",positive
"@user123 said delighted, barely great value, the company is based in ohio, for a watch",positive
"love, for a charger",positive
"barely totally worst experience, for a charger!!! sooo goooood",negative
"@user123 said hardly exceeded expectations, never impressive, it launched last year, for a backpack",positive
"wonderful, barely excellent, for a headphones",positive
"<b>brilliant, for a headphones</b> &amp; more",positive
"@user123 said defective, never very stopped working, it launched last year, for a charger",negative
"reliable, for a blender",positive
"outstanding, highly recommend, for a keyboard",positive
"does not work, regret buying, for a watch",negative
"never really disappointing, barely absolutely never again, for a backpack",negative
"exceeded expectations, terrible, the store had it in stock, for a watch",neutral
"very one star, absolutely waste of money, the company is based in ohio, for a laptop",negative
"excellent, defective, it launched last year, for a charger",neutral
"check delighted, poor quality, it uses usb-c, for a laptop http://spam.link/760",neutral
"excellent, for a watch",positive
"barely smooth, for a headphones",positive
"check barely broken, for a keyboard http://spam.link/345",negative
"smooth, terrible, it comes in two colors, for a blender",neutral
"terrible, for a headphones",negative
"check highly recommend, totally smooth, for a phone http://spam.link/342",positive
"hardly top quality, wonderful, it uses usb-c, for a keyboard",positive
"defective, the store had it in stock, for a watch",negative
"hardly terrible, very useless, for a backpack!!! sooo goooood",neutral
"@user123 said highly recommend, does not work, it launched last year, for a phone",neutral
"slow, terrible, for a phone",negative
"never delighted, outstanding, the manual has 12 pages, for a backpack",positive
"really love, brilliant, the box includes a cable, for a laptop",positive
"superb, for a laptop",positive
"highly recommend, fantastic, the package arrived on tuesday, for a blender",positive
"perfect, waste of money, the app connects over bluetooth, for a headphones",neutral
"hardly great value, best purchase, it weighs about 300 grams, for a watch",positive
"delighted, waste of money, it comes in two colors, for a charger",neutral
"terrible, totally hate, for a keyboard",negative
"<b>totally terrible, not incredibly regret buying, for a watch</b> &amp; more",negative
"smooth, crashed, the box includes a cable, for a laptop",negative
"superb, for a phone",positive
"excellent, for a phone",positive
"hardly incredibly poor quality, stopped working, for a phone",negative
"never really never again, for a charger!!! sooo goooood",negative
"totally annoying, hate, for a backpack",negative
"really highly recommend, for a phone",positive
"outstanding, never again, it weighs about 300 grams, for a keyboard",neutral
"check regret buying, worst experience, for a headphones http://spam.link/747",negative
"@user123 said not waste of money, crashed, for a charger",negative
"barely absolutely terrible, never worst experience, for a backpack",negative
"brilliant, stopped working, the package arrived on tuesday, for a watch",neutral
"hardly outstanding, for a keyboard!!! sooo goooood",positive
"fantastic, annoying, i bought this in march, for a backpack",neutral
"delighted, for a charger",positive
"@user123 said highly recommend, really outstanding, the package arrived on tuesday, for a blender",positive
"check not best purchase, five stars, for a charger http://spam.link/539",positive
"check totally broken, absolutely annoying, for a keyboard http://spam.link/268",negative
"delighted, waste of money, the package arrived on tuesday, for a laptop",neutral
"@user123 said hardly absolutely smooth, for a phone",positive
"never really refund, the company is based in ohio, for a phone!!! sooo goooood",negative
"not hate, hardly poor quality, for a blender",negative
"not absolutely one star, the box includes a cable, for a keyboard",negative
"<b>perfect, useless, the company is based in ohio, for a headphones</b> &amp; more",neutral
"fantastic, waste of money, it uses usb-c, for a laptop",neutral
"poor quality, refund, for a blender",negative
"highly recommend, does not work, it weighs about 300 grams, for a headphones!!! sooo goooood",neutral
"check brilliant, delighted, for a watch http://spam.link/653",positive
"not brilliant, it weighs about 300 grams, for a watch",positive
"@user123 said hardly absolutely worst experience, for a laptop",negative
"amazing, really excellent, for a keyboard",positive
"absolutely slow, for a charger",negative
"not crashed, for a laptop",negative
"check absolutely delighted, for a phone http://spam.link/601",positive
"best purchase, for a keyboard",positive
"never again, the store had it in stock, for a blender",negative
"works flawlessly, useless, the box includes a cable, for a charger",neutral
"not incredibly awful, hate, for a headphones",negative
"best purchase, absolutely fantastic, for a phone",positive
"@user123 said never awful, for a watch",negative
"not incredibly wonderful, for a blender",positive
"not very never again, annoying, the app connects over bluetooth, for a laptop",neutral
"incredibly smooth, never very top quality, the company is based in ohio, for a blender",positive
"five stars, refund, the box includes a cable, for a headphones",neutral
"<b>wonderful, stopped working, the manual has 12 pages, for a backpack</b> &amp; more",neutral
"works flawlessly, one star, it weighs about 300 grams, for a watch",neutral
"top quality, for a headphones",positive
"@user123 said impressive, defective, the box includes a cable, for a phone",neutral
"very works flawlessly, absolutely exceeded expectations, it launched last year, for a blender",positive
"top quality, it weighs about 300 grams, for a charger",positive
"works flawlessly, perfect, for a laptop",positive
"impressive, terrible, it weighs about 300 grams, for a watch",neutral
"useless, regret buying, for a headphones",negative
"<b>totally terrible, for a laptop</b> &amp; more",negative
"defective, it comes in two colors, for a charger",negative
"annoying, for a phone",negative
"barely broken, the box includes a cable, for a headphones",negative
"check regret buying, it weighs about 300 grams, for a blender http://spam.link/609",negative
"not does not work, hardly worst experience, the app connects over bluetooth, for a charger!!! sooo goooood",negative
"really stopped working, stopped working, for a laptop",negative
"check wonderful, broken, it uses usb-c, for a keyboard http://spam.link/906",neutral
"brilliant, never again, i bought this in march, for a keyboard",neutral
"absolutely love, really wonderful, for a watch",positive
"highly recommend, worst experience, it comes in two colors, for a backpack!!! sooo goooood",neutral
"great value, regret buying, the package arrived on tuesday, for a blender",neutral
"highly recommend, outstanding, for a backpack",positive
"top quality, for a charger",positive
"not highly recommend, works flawlessly, i bought this in march, for a backpack",positive
"@user123 said hardly very worst experience, for a keyboard",negative
"check incredibly impressive, for a blender http://spam.link/182",positive
"brilliant, outstanding, for a watch",positive
"fantastic, hate, it uses usb-c, for a laptop",neutral
"exceeded expectations, five stars, it uses usb-c, for a phone",positive
"top quality, disappointing, the manual has 12 pages, for a watch",neutral
"@user123 said wonderful, for a headphones",positive
"awful, for a watch",negative
"check waste of money, for a watch http://spam.link/769",negative
"check highly recommend, highly recommend, for a charger http://spam.link/836",positive
"delighted, stopped working, the manual has 12 pages, for a phone",neutral
"crashed, really awful, for a laptop",negative
"@user123 said never waste of money, hate, for a phone",negative
"totally annoying, slow, it uses usb-c, for a charger",negative
"not very does not work, annoying, for a watch",negative
"outstanding, awful, the app connects over bluetooth, for a headphones",neutral
"not hate, for a keyboard",negative
"<b>never awful, for a charger</b> &amp; more",negative
"@user123 said never regret buying, terrible, for a charger",negative
"hardly waste of money, poor quality, for a watch",negative
"<b>refund, for a charger</b> &amp; more",negative
"not top quality, impressive, for a charger",positive
"never one star, for a backpack",negative
"great value, for a blender",positive
"hardly brilliant, fantastic, for a blender",positive
"impressive, one star, the manual has 12 pages, for a phone",neutral
"never again, the box includes a cable, for a blender",negative
"<b>wonderful, great value, for a backpack</b> &amp; more",positive
"not amazing, impressive, for a keyboard",positive
"check brilliant, cheap plastic, it weighs about 300 grams, for a charger http://spam.link/759",neutral
"top quality, barely incredibly wonderful, for a headphones",positive
"incredibly stopped working, awful, for a keyboard",negative
"<b>brilliant, never again, the box includes a cable, for a headphones</b> &amp; more",neutral
"absolutely great value, hardly totally smooth, for a laptop",positive
"love, slow, it weighs about 300 grams, for a blender!!! sooo goooood",neutral
"hardly cheap plastic, hardly slow, for a watch",negative
"barely totally brilliant, hardly very exceeded expectations, for a watch",positive
"best purchase, for a phone!!! sooo goooood",positive
"totally waste of money, for a keyboard",negative
"delighted, for a backpack!!! sooo goooood",positive
"awful, barely one star, for a watch",negative
"works flawlessly, for a blender",positive
"absolutely broken, it weighs about 300 grams, for a phone",negative
"very delighted, absolutely works flawlessly, for a headphones",positive
"top quality, the model number is xj-220, for a laptop",positive
"fantastic, cheap plastic, the app connects over bluetooth, for a headphones",neutral
"check superb, waste of money, the package arrived on tuesday, for a headphones http://spam.link/910",neutral
"best purchase, for a backpack",positive
"very awful, for a charger!!! sooo goooood",negative
"superb, for a headphones",positive
"check love, poor quality, the app connects over bluetooth, for a headphones http://spam.link/578",neutral
"best purchase, for a headphones",positive
"check barely does not work, the app connects over bluetooth, for a headphones http://spam.link/593",negative
"defective, poor quality, for a blender",negative
"disappointing, the app connects over bluetooth, for a headphones",negative
"wonderful, for a watch",positive
"very impressive, superb, for a laptop",positive
"@user123 said totally awful, for a keyboard",negative
"wonderful, for a keyboard",positive
"excellent, for a keyboard",positive
"totally superb, never brilliant, it launched last year, for a blender",positive
"check hardly wonderful, superb, for a keyboard http://spam.link/959",positive
"fantastic, for a phone",positive
"waste of money, never again, the box includes a cable, for a keyboard",negative
"top quality, slow, the box includes a cable, for a watch",neutral
"never best purchase, for a backpack!!! sooo goooood",positive
"absolutely waste of money, crashed, for a blender",negative
"hardly brilliant, barely exceeded expectations, for a backpack",positive
"top quality, crashed, the manual has 12 pages, for a charger",neutral
"barely totally broken, slow, it launched last year, for a charger",negative
"very slow, it launched last year, for a laptop",negative
"totally crashed, the model number is xj-220, for a blender",negative
"delighted, smooth, the box includes a cable, for a charger",positive
"check exceeded expectations, worst experience, the company is based in ohio, for a watch http://spam.link/640",neutral
"best purchase, for a headphones",positive
"check five stars, poor quality, the store had it in stock, for a laptop http://spam.link/579",neutral
"barely waste of money, for a laptop",negative
"hardly reliable, fantastic, for a keyboard",positive
"hardly brilliant, never wonderful, for a watch",neutral
"check regret buying, for a blender http://spam.link/274",negative
"works flawlessly, disappointing, it launched last year, for a blender!!! sooo goooood",negative
"really never again, for a blender",negative
"fantastic, useless, the package arrived on tuesday, for a charger",neutral
"smooth, defective, it uses usb-c, for a keyboard",neutral
"disappointing, one star, for a headphones",negative
"hardly incredibly stopped working, absolutely slow, it comes in two colors, for a keyboard",negative
"hardly waste of money, never again, it uses usb-c, for a headphones",negative
"delighted, hate, it launched last year, for a phone",neutral
"incredibly delighted, the box includes a cable, for a watch",positive
"excellent, wonderful, i bought this in march, for a phone!!! sooo goooood",positive
"top quality, for a watch",positive
"love, never impressive, the company is based in ohio, for a laptop",neutral
"top quality, hate, i bought this in march, for a laptop",neutral
"stopped working, refund, for a blender",negative
"cheap plastic, for a blender",negative
"perfect, for a headphones",positive
"barely really perfect, the model number is xj-220, for a phone",positive
"smooth, awful, the box includes a cable, for a phone",positive
"totally delighted, the manual has 12 pages, for a charger",positive
"never awful, for a charger",negative
"<b>really five stars, for a blender</b> &amp; more",positive
"best purchase, one star, it weighs about 300 grams, for a headphones",neutral
"superb, regret buying, the model number is xj-220, for a phone",neutral
"cheap plastic, barely hate, for a headphones",negative
"perfect, one star, i bought this in march, for a laptop",neutral
"perfect, for a blender",positive
"barely slow, for a keyboard",negative
"hardly incredibly outstanding, love, for a keyboard",positive
"very great value, the package arrived on tuesday, for a blender",positive
"delighted, for a headphones",positive
"one star, really annoying, for a charger!!! sooo goooood",negative
"<b>absolutely defective, for a headphones</b> &amp; more",negative
"check amazing, slow, the model number is xj-220, for a phone http://spam.link/818",neutral
"fantastic, reliable, for a backpack",positive
"barely hate, annoying, for a headphones",negative
"check not totally highly recommend, for a laptop http://spam.link/504",positive
"check never absolutely regret buying, barely very crashed, for a backpack http://spam.link/910",negative
"check love, waste of money, it launched last year, for a headphones http://spam.link/720",neutral
"amazing, annoying, it comes in two colors, for a blender",neutral
"absolutely regret buying, for a blender",negative
"exceeded expectations, defective, it comes in two colors, for a phone",neutral
"poor quality, for a laptop",negative
"@user123 said never incredibly works flawlessly, for a laptop",positive
"incredibly top quality, for a charger",positive
"never very top quality, for a charger",positive
"broken, for a watch!!! sooo goooood",negative
"superb, for a phone",positive
"reliable, disappointing, the manual has 12 pages, for a phone",neutral
"really great value, incredibly perfect, for a backpack",positive
"@user123 said incredibly waste of money, never again, for a watch",negative
"exceeded expectations, poor quality, the company is based in ohio, for a backpack",neutral
"@user123 said not defective, not does not work, for a backpack",negative
"stopped working, barely very awful, for a blender",negative
"never best purchase, for a phone",positive
"very exceeded expectations, top quality, for a headphones",positive
"check exceeded expectations, defective, it comes in two colors, for a keyboard http://spam.link/540",neutral
"exceeded expectations, absolutely perfect, the store had it in stock, for a blender",positive
"exceeded expectations, waste of money, the store had it in stock, for a keyboard",neutral
"check barely superb, incredibly great value, the model number is xj-220, for a watch http://spam.link/989",positive
"highly recommend, useless, it launched last year, for a blender",neutral
"annoying, absolutely slow, for a laptop",negative
"absolutely reliable, for a phone",positive
"<b>hardly terrible, barely slow, for a watch</b> &amp; more",negative
"love, for a blender",positive
"great value, annoying, the model number is xj-220, for a charger",neutral
"never superb, absolutely five stars, for a headphones",positive
"love, smooth, for a backpack",positive
"check amazing, waste of money, the package arrived on tuesday, for a backpack http://spam.link/549",neutral
"cheap plastic, poor quality, for a backpack!!! sooo goooood",negative
"<b>incredibly fantastic, for a blender</b> &amp; more",positive
"impressive, slow, the box includes a cable, for a watch",neutral
"excellent, crashed, it uses usb-c, for a headphones!!! sooo goooood",neutral
"delighted, hardly smooth, i bought this in march, for a phone",positive
"very top quality, superb, for a watch!!! sooo goooood",positive
"never incredibly impressive, for a charger",positive
"absolutely never again, barely one star, the company is based in ohio, for a phone",negative
"check really refund, for a backpack http://spam.link/941",neutral
"five stars, it comes in two colors, for a laptop",positive
"really never again, does not work, for a blender",negative
"<b>hardly awful, for a headphones</b> &amp; more",negative
"impressive, top quality, for a backpack",positive
"check perfect, never again, the app connects over bluetooth, for a laptop http://spam.link/373",neutral
"hardly impressive, incredibly excellent, for a headphones",positive
"delighted, never works flawlessly, for a watch",positive
"brilliant, barely reliable, it weighs about 300 grams, for a laptop!!! sooo goooood",positive
"<b>annoying, one star, for a blender</b> &amp; more",negative
"annoying, for a charger",negative
"barely absolutely awful, it comes in two colors, for a watch",negative
"wonderful, terrible, the app connects over bluetooth, for a laptop",neutral
"@user123 said never fantastic, for a backpack",positive
"totally great value, for a phone",positive
"hate, for a headphones",negative
"absolutely five stars, for a headphones",positive
"check superb, outstanding, it launched last year, for a phone http://spam.link/691",positive
"outstanding, for a phone!!! sooo goooood",positive
"amazing, the app connects over bluetooth, for a laptop",positive
"absolutely useless, for a charger",negative
"not awful, never again, for a backpack",negative
"incredibly wonderful, very amazing, for a laptop",positive
"<b>never top quality, totally exceeded expectations, for a keyboard</b> &amp; more",positive
"highly recommend, hate, the box includes a cable, for a charger",neutral
"check hardly exceeded expectations, the store had it in stock, for a charger http://spam.link/383",positive
"five stars, for a blender",positive
"amazing, hardly amazing, for a laptop",positive
"works flawlessly, does not work, the company is based in ohio, for a phone",neutral
"very highly recommend, for a blender",positive
"hardly amazing, for a blender",positive
"@user123 said very exceeded expectations, barely best purchase, the store had it in stock, for a blender",positive
"excellent, for a keyboard",positive
"never absolutely best purchase, very reliable, i bought this in march, for a charger",positive
"check really never again, the manual has 12 pages, for a laptop http://spam.link/738",negative
"totally excellent, excellent, for a headphones",positive
"barely really broken, one star, the model number is xj-220, for a backpack",negative
"top quality, it comes in two colors, for a backpack",positive
"really outstanding, works flawlessly, for a backpack",positive
"perfect, i bought this in march, for a laptop!!! sooo goooood",positive
"great value, never again, the manual has 12 pages, for a backpack",neutral
"<b>very slow, barely stopped working, for a laptop</b> &amp; more",negative
"never superb, not five stars, it launched last year, for a backpack",positive
"absolutely five stars, for a headphones",positive
"incredibly excellent, for a laptop",positive
"<b>very poor quality, it uses usb-c, for a blender</b> &amp; more",negative
"great value, hardly fantastic, the box includes a cable, for a charger",positive
"incredibly crashed, it launched last year, for a keyboard",negative
"very disappointing, one star, it weighs about 300 grams, for a charger",negative
"useless, for a blender!!! sooo goooood",negative
"five stars, works flawlessly, it comes in two colors, for a keyboard",positive
"<b>barely totally wonderful, love, for a backpack</b> &amp; more",positive
"<b>barely absolutely slow, for a charger</b> &amp; more",negative
"<b>top quality, slow, it weighs about 300 grams, for a watch</b> &amp; more",neutral
"<b>hardly very great value, for a blender</b> &amp; more",positive
"outstanding, the box includes a cable, for a blender",positive
"never superb, the company is based in ohio, for a keyboard",positive
"amazing, hate, the package arrived on tuesday, for a phone",neutral
"brilliant, hate, the model number is xj-220, for a laptop",neutral
"hate, for a blender",negative
"smooth, cheap plastic, the app connects over bluetooth, for a laptop",neutral
"never very useless, does not work, the store had it in stock, for a keyboard",negative
"absolutely works flawlessly, barely top quality, for a phone",positive
"very impressive, superb, for a blender",positive
"stopped working, totally broken, for a keyboard",negative
"barely exceeded expectations, barely wonderful, for a headphones",positive
"five stars, worst experience, it weighs about 300 grams, for a phone",neutral
"hardly amazing, for a blender",positive
"hardly fantastic, the package arrived on tuesday, for a headphones",positive
"check reliable, broken, the store had it in stock, for a laptop http://spam.link/379",neutral
"excellent, poor quality, i bought this in march, for a keyboard",neutral
"five stars, one star, i bought this in march, for a blender",neutral
"hardly absolutely stopped working, for a phone",positive
"one star, never refund, for a blender",negative
"perfect, hardly incredibly reliable, for a headphones",positive
"best purchase, waste of money, i bought this in march, for a backpack",neutral
"great value, really exceeded expectations, for a charger",positive
"reliable, for a keyboard",positive
"wonderful, for a blender",positive
"five stars, regret buying, the box includes a cable, for a laptop",neutral
"hardly wonderful, never absolutely impressive, for a blender",positive
"not disappointing, hardly incredibly poor quality, for a watch",negative
"perfect, the manual has 12 pages, for a backpack",positive
"never smooth, really perfect, the box includes a cable, for a laptop",positive
"delighted, reliable, for a keyboard",positive
"check slow, for a phone http://spam.link/415",negative
"great value, stopped working, the store had it in stock, for a headphones",neutral
"superb, annoying, it comes in two colors, for a headphones",neutral
"does not work, for a backpack",negative
"absolutely one star, useless, for a backpack",negative
"<b>not annoying, it comes in two colors, for a keyboard</b> &amp; more",positive
"very hate, for a watch",negative
"<b>reliable, stopped working, the store had it in stock, for a watch</b> &amp; more",neutral
"barely best purchase, outstanding, for a watch",positive
"never slow, one star, for a backpack",negative
"barely perfect, for a charger",positive
"impressive, stopped working, it weighs about 300 grams, for a keyboard",neutral
"never top quality, for a phone",positive
"reliable, five stars, for a charger",positive
"check smooth, for a phone http://spam.link/799",positive
"<b>hardly totally disappointing, broken, for a watch</b> &amp; more",negative
"not perfect, for a blender!!! sooo goooood",positive
"superb, highly recommend, for a phone",positive
"never wonderful, love, for a keyboard!!! sooo goooood",positive
"love, for a charger",positive
"not incredibly perfect, very best purchase, the model number is xj-220, for a blender",positive
"useless, really awful, for a laptop",negative
"worst experience, does not work, for a phone",negative
"check never absolutely hate, never does not work, for a laptop http://spam.link/940",negative
"outstanding, refund, the app connects over bluetooth, for a keyboard",neutral
"<b>highly recommend, annoying, the manual has 12 pages, for a keyboard</b> &amp; more",neutral
"perfect, stopped working, it uses usb-c, for a keyboard",neutral
"not perfect, hardly incredibly works flawlessly, the company is based in ohio, for a keyboard",positive
"check not best purchase, for a phone http://spam.link/530",positive
"really five stars, for a backpack",positive
"totally outstanding, works flawlessly, it launched last year, for a blender",positive
"barely very wonderful, absolutely superb, for a phone",positive
"check very waste of money, for a watch http://spam.link/852",negative
"very exceeded expectations, for a backpack",positive
"check not incredibly wonderful, never very highly recommend, for a keyboard http://spam.link/311",positive
"amazing, one star, it launched last year, for a headphones",neutral
"absolutely useless, cheap plastic, for a headphones",negative
"impressive, disappointing, the manual has 12 pages, for a backpack",neutral
"amazing, for a phone",positive
"very works flawlessly, amazing, the app connects over bluetooth, for a keyboard!!! sooo goooood",positive
"check hardly annoying, never very disappointing, for a backpack http://spam.link/641",negative
"works flawlessly, hardly smooth, the manual has 12 pages, for a keyboard",positive
"five stars, defective, it comes in two colors, for a phone",neutral
"excellent, poor quality, the manual has 12 pages, for a blender!!! sooo goooood",neutral
"fantastic, crashed, the store had it in stock, for a blender",neutral
"really great value, for a charger",positive
"barely exceeded expectations, for a blender!!! sooo goooood",positive
"highly recommend, refund, the app connects over bluetooth, for a charger",neutral
"check incredibly poor quality, the company is based in ohio, for a charger http://spam.link/109",negative
"<b>five stars, disappointing, the company is based in ohio, for a laptop</b> &amp; more",positive
"@user123 said worst experience, the manual has 12 pages, for a watch",negative
"delighted, absolutely love, for a laptop",positive
"amazing, top quality, for a laptop!!! sooo goooood",positive
"<b>amazing, annoying, the box includes a cable, for a phone</b> &amp; more",neutral
"check reliable, terrible, it uses usb-c, for a keyboard http://spam.link/781",neutral
"highly recommend, for a watch!!! sooo goooood",positive
"excellent, annoying, it weighs about 300 grams, for a laptop",neutral
"excellent, for a keyboard",positive
"not poor quality, one star, the model number is xj-220, for a blender",negative
"@user123 said best purchase, awful, it weighs about 300 grams, for a blender",neutral
"smooth, the model number is xj-220, for a backpack",positive
"superb, cheap plastic, the company is based in ohio, for a backpack",neutral
"not refund, terrible, for a headphones",negative
"impressive, for a keyboard",positive
"barely smooth, for a laptop",positive
"impressive, terrible, the app connects over bluetooth, for a keyboard",neutral
"awful, hardly annoying, for a phone",negative
"<b>incredibly love, for a laptop</b> &amp; more",positive
"annoying, totally slow, for a keyboard",negative
"love, crashed, it comes in two colors, for a phone",neutral
"smooth, barely works flawlessly, for a charger",positive
"fantastic, impressive, the model number is xj-220, for a charger",positive
"<b>absolutely impressive, best purchase, for a backpack</b> &amp; more",positive
"stopped working, the package arrived on tuesday, for a laptop",negative
"very top quality, for a keyboard",positive
"worst experience, regret buying, for a blender",negative
"totally exceeded expectations, delighted, the store had it in stock, for a phone",positive
"love, awful, the manual has 12 pages, for a phone",neutral
"great value, annoying, it uses usb-c, for a keyboard",neutral
"excellent, never again, it launched last year, for a blender",neutral
"check delighted, worst experience, the box includes a cable, for a charger http://spam.link/240",neutral
"one star, for a keyboard",negative
"@user123 said barely absolutely outstanding, hardly impressive, for a backpack",positive
"fantastic, never again, it comes in two colors, for a phone",neutral
"regret buying, for a watch",negative
"defective, for a headphones",negative
"perfect, defective, the model number is xj-220, for a phone",negative
"never incredibly terrible, i bought this in march, for a blender",negative
"outstanding, poor quality, the store had it in stock, for a laptop",neutral
"hardly does not work, crashed, for a headphones",negative
"barely disappointing, worst experience, the app connects over bluetooth, for a laptop",negative
"incredibly outstanding, for a charger",positive
"@user123 said best purchase, it weighs about 300 grams, for a watch",positive
"really excellent, never exceeded expectations, for a blender",positive
"<b>hardly exceeded expectations, for a keyboard</b> &amp; more",positive
"never one star, the app connects over bluetooth, for a phone",negative
"really best purchase, the store had it in stock, for a backpack",positive
"@user123 said love, regret buying, the package arrived on tuesday, for a blender",neutral
"useless, not never again, the package arrived on tuesday, for a laptop",negative
"<b>amazing, for a backpack</b> &amp; more",positive
"never amazing, for a keyboard",positive
"never incredibly refund, incredibly useless, the app connects over bluetooth, for a phone",negative
"five stars, slow, the box includes a cable, for a backpack",neutral
"top quality, for a backpack",positive
"check top quality, absolutely brilliant, for a charger http://spam.link/484",positive
"check excellent, useless, it uses usb-c, for a keyboard http://spam.link/233",neutral
"wonderful, one star, the manual has 12 pages, for a headphones",neutral
"really fantastic, never totally five stars, for a charger",negative
"amazing, totally exceeded expectations, for a keyboard",positive
"check hardly refund, for a laptop http://spam.link/950",negative
"not waste of money, for a keyboard",negative
"reliable, cheap plastic, it launched last year, for a watch",neutral
"outstanding, for a headphones",positive
